Bus,busmap
39821,p480 0
39824,p480 0
39828,p480 0
39832,p480 0
39847,p480 0
39857,p480 0
39860,p480 0
39884,p480 0
39897,p480 0
39901,p480 0
39764,p600 0
39765,p600 0
39778,p600 0
39782,p600 0
39792,p600 0
39798,p600 0
39801,p600 0
39803,p600 0
39804,p600 0
39815,p600 0
39817,p600 0
39823,p600 0
39825,p600 0
39835,p600 0
39837,p600 0
39841,p600 0
39853,p600 0
39854,p600 0
39862,p600 0
39866,p600 0
39872,p600 0
39874,p600 0
39879,p600 0
39882,p600 0
39885,p600 0
39889,p600 0
39903,p600 0
39906,p600 0
39908,p600 0
39917,p600 0
39918,p600 0
39920,p600 0
39921,p600 0
39922,p600 0
39930,p600 0
39933,p600 0
39936,p600 0
39937,p600 0
39942,p600 0
39944,p600 0
39952,p600 0
39953,p600 0
39954,p600 0
39958,p600 0
39960,p600 0
39962,p600 0
39963,p600 0
39967,p600 0
39970,p600 0
39971,p600 0
39973,p600 0
39978,p600 0
39979,p600 0
39980,p600 0
39984,p600 0
39989,p600 0
39993,p600 0
39763,p610 0
39766,p610 0
39767,p610 0
39768,p610 0
39769,p610 0
39771,p610 0
39772,p610 0
39777,p610 0
39780,p610 0
39784,p610 0
39785,p610 0
39788,p610 0
39790,p610 0
39793,p610 0
39795,p610 0
39800,p610 0
39806,p610 0
39808,p610 0
39809,p610 0
39813,p610 0
39909,p610 0
39910,p610 0
39911,p610 0
39915,p610 0
39919,p610 0
39923,p610 0
39927,p610 0
39928,p610 0
39929,p610 0
39934,p610 0
39935,p610 0
39938,p610 0
39940,p610 0
39941,p610 0
39943,p610 0
39945,p610 0
39946,p610 0
39947,p610 0
39948,p610 0
39950,p610 0
39951,p610 0
39955,p610 0
39957,p610 0
39959,p610 0
39968,p610 0
39969,p610 0
39972,p610 0
39976,p610 0
39981,p610 0
39982,p610 0
39983,p610 0
39985,p610 0
39987,p610 0
39988,p610 0
39990,p610 0
39991,p610 0
39992,p610 0
39996,p610 0
40201,p610 0
40371,p610 0
40475,p610 0
39762,p620 0
39770,p620 0
39773,p620 0
39774,p620 0
39775,p620 0
39776,p620 0
39779,p620 0
39781,p620 0
39783,p620 0
39786,p620 0
39787,p620 0
39789,p620 0
39791,p620 0
39794,p620 0
39796,p620 0
39797,p620 0
39799,p620 0
39802,p620 0
39805,p620 0
39807,p620 0
39810,p620 0
39811,p620 0
39812,p620 0
39814,p620 0
39816,p620 0
39818,p630 5
39819,p630 5
39820,p630 5
39822,p630 0
39826,p630 1
39827,p630 1
39829,p630 0
39830,p630 5
39831,p630 0
39833,p630 5
39834,p630 0
39836,p630 5
39838,p630 5
39839,p630 5
39840,p630 1
39842,p630 0
39843,p630 1
39844,p630 5
39845,p630 0
39846,p630 5
39848,p630 1
39849,p630 1
39850,p630 0
39851,p630 1
39852,p630 1
39855,p630 5
39856,p630 0
39858,p630 0
39859,p630 0
39861,p630 5
39863,p630 1
39864,p630 5
39865,p630 1
39867,p630 0
39868,p630 0
39869,p630 1
39870,p630 0
39871,p630 1
39873,p630 1
39875,p630 0
39876,p630 5
39877,p630 0
39878,p630 0
39880,p630 0
39881,p630 5
39883,p630 1
39886,p630 1
39887,p630 1
39888,p630 1
39890,p630 0
39891,p630 1
39892,p630 0
39893,p630 0
39894,p630 5
39895,p630 5
39896,p630 5
39898,p630 1
39899,p630 1
39900,p630 1
39902,p630 1
39904,p630 0
39924,p630 4
39925,p630 0
39926,p630 4
39931,p630 4
39932,p630 0
39961,p630 4
39966,p630 4
39995,p630 4
40123,p630 1
40124,p630 2
40125,p630 0
40126,p630 1
40127,p630 1
40128,p630 0
40129,p630 1
40130,p630 1
40131,p630 2
40132,p630 1
40133,p630 0
40134,p630 6
40135,p630 6
40136,p630 1
40137,p630 0
40138,p630 6
40139,p630 4
40140,p630 6
40141,p630 6
40142,p630 6
40143,p630 1
40144,p630 4
40145,p630 6
40146,p630 1
40147,p630 1
40148,p630 1
40149,p630 1
40150,p630 6
40151,p630 0
40152,p630 6
40153,p630 1
40154,p630 1
40155,p630 2
40156,p630 0
40157,p630 2
40158,p630 6
40159,p630 1
40160,p630 4
40161,p630 1
40162,p630 0
40163,p630 1
40164,p630 4
40165,p630 1
40166,p630 1
40167,p630 4
40168,p630 4
40169,p630 4
40170,p630 6
40171,p630 1
40172,p630 1
40173,p630 6
40174,p630 6
40175,p630 4
40176,p630 1
40177,p630 2
40178,p630 6
40179,p630 6
40180,p630 1
40181,p630 1
40182,p630 1
40183,p630 1
40184,p630 6
40185,p630 1
40186,p630 1
40187,p630 0
40188,p630 1
40189,p630 6
40190,p630 1
40191,p630 1
40192,p630 1
40193,p630 0
40194,p630 1
40195,p630 6
40196,p630 1
40197,p630 1
40198,p630 1
40199,p630 1
40200,p630 6
40202,p630 0
40203,p630 0
40204,p630 1
40205,p630 4
40206,p630 1
40207,p630 1
40208,p630 4
40209,p630 1
40210,p630 4
40211,p630 1
40212,p630 4
40213,p630 6
40214,p630 0
40215,p630 0
40216,p630 5
40217,p630 4
40218,p630 1
40219,p630 4
40220,p630 1
40221,p630 4
40222,p630 6
40223,p630 4
40224,p630 1
40225,p630 1
40226,p630 1
40227,p630 1
40228,p630 1
40229,p630 0
40230,p630 6
40231,p630 1
40232,p630 0
40233,p630 6
40234,p630 0
40235,p630 0
40236,p630 1
40237,p630 1
40238,p630 4
40239,p630 1
40240,p630 1
40241,p630 4
40242,p630 4
40243,p630 1
40244,p630 1
40245,p630 0
40246,p630 6
40247,p630 6
40248,p630 1
40249,p630 4
40250,p630 1
40251,p630 0
40252,p630 6
40253,p630 1
40254,p630 2
40255,p630 1
40256,p630 4
40257,p630 1
40258,p630 6
40259,p630 6
40260,p630 6
40261,p630 0
40262,p630 1
40263,p630 1
40264,p630 0
40265,p630 6
40267,p630 1
40268,p630 1
40269,p630 0
40270,p630 6
40271,p630 0
40272,p630 2
40273,p630 1
40274,p630 1
40275,p630 0
40276,p630 6
40277,p630 1
40278,p630 2
40279,p630 1
40280,p630 1
40281,p630 1
40282,p630 1
40283,p630 6
40284,p630 6
40285,p630 6
40286,p630 1
40287,p630 1
40288,p630 4
40289,p630 1
40290,p630 2
40291,p630 1
40292,p630 1
40293,p630 0
40294,p630 1
40295,p630 1
40296,p630 1
40297,p630 1
40298,p630 4
40299,p630 6
40300,p630 1
40301,p630 1
40302,p630 4
40303,p630 0
40304,p630 4
40305,p630 6
40306,p630 1
40307,p630 6
40308,p630 6
40309,p630 1
40310,p630 6
40311,p630 1
40312,p630 1
40313,p630 1
40314,p630 1
40315,p630 1
40316,p630 0
40317,p630 6
40318,p630 6
40319,p630 1
40320,p630 1
40321,p630 6
40322,p630 0
40323,p630 6
40324,p630 1
40325,p630 4
40326,p630 5
40327,p630 6
40328,p630 4
40329,p630 4
40330,p630 1
40331,p630 1
40332,p630 1
40333,p630 2
40334,p630 2
40335,p630 1
40336,p630 4
40337,p630 4
40338,p630 1
40339,p630 0
40340,p630 0
40341,p630 6
40342,p630 5
40343,p630 1
40344,p630 6
40345,p630 6
40346,p630 6
40347,p630 6
40348,p630 1
40349,p630 1
40350,p630 1
40351,p630 6
40352,p630 1
40353,p630 1
40354,p630 1
40355,p630 6
40356,p630 1
40357,p630 6
40358,p630 1
40359,p630 4
40360,p630 1
40361,p630 1
40362,p630 6
40363,p630 1
40364,p630 4
40365,p630 4
40366,p630 1
40367,p630 1
40368,p630 1
40369,p630 6
40370,p630 1
40372,p630 1
40373,p630 1
40374,p630 0
40375,p630 6
40376,p630 1
40377,p630 1
40378,p630 1
40379,p630 1
40380,p630 6
40381,p630 6
40382,p630 0
40383,p630 6
40384,p630 1
40385,p630 1
40386,p630 1
40387,p630 1
40388,p630 1
40389,p630 6
40390,p630 1
40391,p630 1
40392,p630 4
40393,p630 0
40394,p630 1
40395,p630 1
40396,p630 1
40397,p630 6
40398,p630 1
40399,p630 6
40400,p630 1
40401,p630 4
40402,p630 4
40403,p630 6
40404,p630 1
40405,p630 1
40406,p630 1
40407,p630 6
40408,p630 4
40409,p630 4
40410,p630 4
40411,p630 0
40412,p630 1
40413,p630 6
40414,p630 4
40415,p630 1
40416,p630 6
40417,p630 4
40418,p630 1
40419,p630 0
40420,p630 6
40421,p630 1
40422,p630 1
40423,p630 1
40424,p630 1
40425,p630 6
40426,p630 6
40427,p630 6
40428,p630 6
40429,p630 1
40430,p630 0
40431,p630 6
40432,p630 6
40433,p630 0
40434,p630 1
40435,p630 4
40436,p630 6
40437,p630 1
40438,p630 1
40439,p630 6
40440,p630 6
40441,p630 6
40442,p630 6
40443,p630 4
40444,p630 6
40445,p630 1
40446,p630 1
40447,p630 4
40448,p630 6
40449,p630 1
40450,p630 0
40451,p630 0
40452,p630 1
40453,p630 4
40454,p630 4
40455,p630 1
40456,p630 1
40457,p630 1
40458,p630 4
40459,p630 1
40460,p630 1
40461,p630 6
40462,p630 4
40463,p630 0
40464,p630 0
40465,p630 6
40466,p630 4
40467,p630 6
40468,p630 2
40469,p630 4
40470,p630 1
40471,p630 6
40472,p630 6
40473,p630 1
40474,p630 6
40476,p630 2
40527,p630 4
40541,p630 4
40617,p630 4
40657,p630 4
40668,p630 4
40910,p630 2
40911,p630 2
40912,p630 3
40913,p630 2
40914,p630 3
40915,p630 3
40916,p630 3
40917,p630 3
40919,p630 2
40920,p630 2
40922,p630 5
40923,p630 2
40924,p630 3
40926,p630 3
40927,p630 3
40928,p630 3
40929,p630 3
40930,p630 3
40931,p630 3
40932,p630 3
40933,p630 3
40934,p630 3
40935,p630 3
40936,p630 5
40938,p630 2
40939,p630 5
40940,p630 3
40941,p630 3
40942,p630 3
40943,p630 3
40944,p630 2
40945,p630 3
40946,p630 2
40947,p630 2
40948,p630 3
40949,p630 3
40950,p630 2
40951,p630 3
40952,p630 3
40953,p630 2
40954,p630 2
40955,p630 5
40956,p630 2
40957,p630 2
40958,p630 5
40959,p630 3
40960,p630 3
40961,p630 2
40962,p630 3
40963,p630 2
40964,p630 2
40965,p630 2
40966,p630 5
40968,p630 1
40969,p630 3
40970,p630 3
40971,p630 3
40972,p630 2
40973,p630 2
40975,p630 5
40976,p630 5
40977,p630 1
40978,p630 2
40979,p630 5
40980,p630 3
40981,p630 3
40982,p630 3
40983,p630 3
40985,p630 3
40986,p630 2
40987,p630 2
40988,p630 5
40989,p630 3
40990,p630 5
40991,p630 2
40992,p630 3
40993,p630 3
40994,p630 5
40995,p630 3
40996,p630 3
40998,p630 2
40999,p630 5
41001,p630 2
41002,p630 5
41003,p630 3
41004,p630 2
41005,p630 3
41006,p630 2
41008,p630 1
41009,p630 3
41010,p630 2
39905,p640 1
39907,p640 1
39912,p640 1
39913,p640 1
39914,p640 1
39916,p640 1
39939,p640 1
39949,p640 1
39956,p640 1
39964,p640 1
39965,p640 1
39975,p640 1
39986,p640 1
39994,p640 1
40266,p640 1
40479,p640 0
40480,p640 1
40481,p640 0
40483,p640 0
40486,p640 1
40487,p640 1
40488,p640 1
40489,p640 1
40490,p640 1
40491,p640 1
40494,p640 1
40495,p640 1
40497,p640 0
40498,p640 1
40499,p640 1
40501,p640 1
40505,p640 1
40506,p640 1
40509,p640 1
40510,p640 0
40511,p640 1
40512,p640 1
40513,p640 0
40514,p640 1
40515,p640 1
40516,p640 1
40517,p640 1
40520,p640 1
40521,p640 1
40523,p640 1
40526,p640 0
40529,p640 1
40532,p640 1
40533,p640 0
40534,p640 1
40536,p640 0
40537,p640 1
40538,p640 1
40540,p640 1
40543,p640 1
40544,p640 1
40545,p640 1
40546,p640 1
40547,p640 0
